TeamKey,RankingPoints,Wins,Losses,Ties,ClimbPoints,AutoPoints,OwnershipPoints,VaultPoints
frc1647,13.0,4.0,8.0,0.0,460.0,270.0,1794.0,340.0
frc1791,12.0,3.0,9.0,0.0,455.0,267.0,1664.0,180.0
frc4954,11.0,3.0,9.0,0.0,455.0,289.0,1594.0,325.0
frc7024,10.0,2.0,10.0,0.0,485.0,252.0,1593.0,265.0
frc2458,10.0,2.0,10.0,0.0,455.0,272.0,1525.0,250.0
frc5490,6.0,2.0,10.0,0.0,370.0,249.0,1869.0,210.0
frc868,34.0,11.0,1.0,0.0,765.0,451.0,3144.0,425.0
frc234,32.0,9.0,3.0,0.0,795.0,452.0,3072.0,410.0
frc1741,29.0,7.0,5.0,0.0,805.0,409.0,2711.0,415.0
frc3940,29.0,8.0,4.0,0.0,730.0,336.0,2656.0,335.0
frc829,28.0,8.0,4.0,0.0,695.0,431.0,2741.0,395.0
frc4381,27.0,9.0,3.0,0.0,650.0,339.0,2597.0,370.0
frc1747,27.0,9.0,3.0,0.0,545.0,498.0,3195.0,340.0
frc1018,27.0,8.0,4.0,0.0,615.0,400.0,2833.0,400.0
frc4103,27.0,7.0,5.0,0.0,685.0,463.0,2825.0,355.0
frc2867,27.0,8.0,4.0,0.0,725.0,386.0,2535.0,290.0
frc1024,25.0,7.0,5.0,0.0,760.0,381.0,2803.0,440.0
frc5403,25.0,7.0,5.0,0.0,680.0,411.0,2608.0,350.0
frc2771,24.0,7.0,5.0,0.0,720.0,325.0,2646.0,370.0
frc5010,24.0,8.0,4.0,0.0,515.0,390.0,2867.0,385.0
frc3487,23.0,5.0,7.0,0.0,750.0,366.0,2474.0,500.0
frc1720,23.0,5.0,7.0,0.0,710.0,353.0,2225.0,335.0
frc3559,23.0,7.0,5.0,0.0,545.0,391.0,2497.0,380.0
frc4485,22.0,7.0,5.0,0.0,610.0,378.0,2428.0,445.0
frc2960,21.0,5.0,7.0,0.0,570.0,398.0,2387.0,410.0
frc6721,20.0,5.0,7.0,0.0,580.0,357.0,2156.0,235.0
frc4008,19.0,5.0,6.0,0.0,630.0,328.0,2078.0,275.0
frc2171,18.0,4.0,8.0,0.0,725.0,343.0,2280.0,500.0
frc6956,18.0,5.0,7.0,0.0,660.0,306.0,2096.0,375.0
frc6498,18.0,3.0,9.0,0.0,565.0,351.0,1996.0,280.0
frc5188,18.0,6.0,6.0,0.0,505.0,300.0,2547.0,330.0
frc3947,17.0,4.0,8.0,0.0,470.0,377.0,2136.0,425.0
frc4982,17.0,5.0,7.0,0.0,495.0,331.0,2270.0,325.0
frc135,17.0,5.0,7.0,0.0,795.0,293.0,2367.0,400.0
frc1646,16.0,5.0,7.0,0.0,585.0,351.0,2155.0,310.0
frc4926,15.0,3.0,9.0,0.0,560.0,305.0,2006.0,300.0
frc6451,14.0,4.0,8.0,0.0,480.0,292.0,2168.0,300.0
frc3180,13.0,4.0,8.0,0.0,575.0,330.0,1865.0,320.0
frc2197,13.0,3.0,9.0,0.0,460.0,326.0,1970.0,330.0
frc5944,13.0,4.0,8.0,0.0,430.0,258.0,1964.0,290.0
frc3936,11.0,2.0,10.0,0.0,590.0,275.0,1882.0,465.0
frc225,35.0,12.0,0.0,0.0,735.0,498.0,3403.0,420.0
frc3314,34.0,9.0,3.0,0.0,825.0,457.0,2893.0,365.0
frc25,33.0,10.0,2.0,0.0,725.0,469.0,3033.0,450.0
frc56,31.0,9.0,3.0,0.0,775.0,424.0,2912.0,390.0
frc222,31.0,10.0,2.0,0.0,765.0,408.0,2501.0,440.0
frc1676,28.0,7.0,5.0,0.0,725.0,367.0,2631.0,380.0
frc75,28.0,8.0,4.0,0.0,640.0,472.0,2814.0,325.0
frc293,26.0,8.0,4.0,0.0,700.0,372.0,2621.0,375.0
frc1403,26.0,8.0,4.0,0.0,585.0,398.0,2499.0,395.0
frc4361,25.0,7.0,5.0,0.0,515.0,345.0,2353.0,280.0
frc41,25.0,7.0,5.0,0.0,590.0,348.0,2471.0,375.0
frc3142,24.0,8.0,4.0,0.0,720.0,352.0,2630.0,345.0
frc341,24.0,8.0,4.0,0.0,675.0,410.0,2987.0,370.0
frc484,24.0,7.0,5.0,0.0,530.0,355.0,2574.0,345.0
frc1626,23.0,8.0,4.0,0.0,565.0,335.0,2600.0,400.0
frc11,22.0,7.0,5.0,0.0,560.0,338.0,2440.0,400.0
frc102,22.0,7.0,5.0,0.0,480.0,333.0,2540.0,305.0
frc555,21.0,5.0,7.0,0.0,640.0,386.0,2027.0,295.0
frc3637,21.0,6.0,6.0,0.0,600.0,290.0,2620.0,350.0
frc5624,20.0,5.0,7.0,0.0,665.0,332.0,2135.0,300.0
frc4653,19.0,5.0,7.0,0.0,695.0,352.0,2392.0,435.0
frc2016,19.0,5.0,7.0,0.0,600.0,360.0,2314.0,445.0
frc1279,18.0,5.0,7.0,0.0,650.0,360.0,2565.0,460.0
frc4637,18.0,5.0,7.0,0.0,645.0,297.0,2164.0,340.0
frc4573,17.0,4.0,8.0,0.0,665.0,311.0,2260.0,310.0
frc5992,17.0,5.0,7.0,0.0,620.0,323.0,2185.0,380.0
frc5438,17.0,4.0,8.0,0.0,585.0,341.0,2040.0,345.0
frc5310,16.0,4.0,8.0,0.0,500.0,301.0,2135.0,300.0
frc5666,16.0,4.0,8.0,0.0,545.0,305.0,1849.0,245.0
frc2070,16.0,5.0,7.0,0.0,550.0,327.0,2213.0,230.0
frc5684,16.0,4.0,8.0,0.0,565.0,316.0,2076.0,370.0
frc6327,16.0,3.0,9.0,0.0,595.0,332.0,2147.0,385.0
frc3515,15.0,4.0,8.0,0.0,620.0,299.0,1913.0,360.0
frc4575,15.0,4.0,8.0,0.0,580.0,321.0,2096.0,340.0
frc3340,15.0,4.0,8.0,0.0,515.0,288.0,1816.0,340.0
frc4281,14.0,4.0,8.0,0.0,465.0,291.0,2009.0,290.0
frc6897,13.0,3.0,9.0,0.0,595.0,325.0,1868.0,290.0
frc193,13.0,3.0,9.0,0.0,595.0,307.0,1764.0,305.0
frc136,12.0,3.0,9.0,0.0,610.0,280.0,1553.0,280.0
frc1629,33.0,11.0,0.0,1.0,695.0,417.0,3384.0,465.0
frc4541,28.0,9.0,3.0,0.0,565.0,374.0,2965.0,325.0
frc4472,28.0,10.0,2.0,0.0,595.0,358.0,3000.0,300.0
frc836,27.0,9.0,3.0,0.0,580.0,341.0,2614.0,325.0
frc2537,27.0,10.0,2.0,0.0,500.0,382.0,2809.0,310.0
frc686,26.0,8.0,4.0,0.0,440.0,397.0,2643.0,320.0
frc2199,25.0,7.0,4.0,1.0,540.0,352.0,2712.0,340.0
frc5243,25.0,8.0,3.0,1.0,510.0,372.0,2804.0,365.0
frc4099,25.0,9.0,3.0,0.0,450.0,262.0,2542.0,315.0
frc2377,24.0,8.0,4.0,0.0,715.0,323.0,2686.0,350.0
frc1915,23.0,7.0,5.0,0.0,390.0,313.0,2094.0,230.0
frc4456,21.0,7.0,5.0,0.0,405.0,310.0,2112.0,310.0
frc5945,20.0,6.0,5.0,1.0,670.0,283.0,2575.0,490.0
frc3389,19.0,7.0,5.0,0.0,575.0,279.0,2366.0,255.0
frc2849,19.0,6.0,6.0,0.0,520.0,281.0,2301.0,280.0
frc5115,19.0,6.0,6.0,0.0,475.0,270.0,2275.0,250.0
frc2961,18.0,7.0,5.0,0.0,485.0,246.0,2219.0,235.0
frc5549,18.0,5.0,7.0,0.0,400.0,329.0,2015.0,235.0
frc339,18.0,5.0,7.0,0.0,565.0,325.0,2162.0,275.0
frc6505,18.0,5.0,7.0,0.0,570.0,295.0,1757.0,335.0
frc6239,17.0,6.0,6.0,0.0,695.0,232.0,2376.0,295.0
frc3941,17.0,7.0,5.0,0.0,495.0,226.0,2356.0,355.0
frc614,17.0,5.0,7.0,0.0,465.0,312.0,2353.0,285.0
frc449,16.0,4.0,8.0,0.0,525.0,312.0,2100.0,385.0
frc2964,16.0,5.0,7.0,0.0,525.0,297.0,2191.0,300.0
frc5841,15.0,4.0,8.0,0.0,555.0,284.0,1821.0,240.0
frc6213,14.0,4.0,7.0,1.0,450.0,267.0,2201.0,230.0
frc4137,14.0,5.0,7.0,0.0,350.0,259.0,1968.0,220.0
frc6584,14.0,4.0,8.0,0.0,610.0,311.0,1829.0,260.0
frc3748,13.0,5.0,7.0,0.0,560.0,225.0,2013.0,310.0
frc2421,12.0,4.0,7.0,1.0,525.0,253.0,2103.0,230.0
frc6863,12.0,3.0,9.0,0.0,475.0,268.0,1887.0,165.0
frc3714,12.0,3.0,9.0,0.0,325.0,294.0,1727.0,215.0
frc1727,11.0,3.0,9.0,0.0,565.0,240.0,1966.0,315.0
frc6326,11.0,3.0,9.0,0.0,410.0,270.0,1922.0,285.0
frc4949,11.0,4.0,8.0,0.0,400.0,200.0,1737.0,170.0
frc2988,11.0,3.0,9.0,0.0,330.0,260.0,1754.0,140.0
frc3650,8.0,3.0,9.0,0.0,610.0,198.0,1476.0,360.0
frc1360,32.0,10.0,2.0,0.0,645.0,443.0,3132.0,360.0
frc4976,31.0,11.0,1.0,0.0,660.0,354.0,3057.0,380.0
frc1325,31.0,11.0,1.0,0.0,740.0,470.0,3263.0,340.0
frc4618,28.0,10.0,2.0,0.0,685.0,330.0,2885.0,330.0
frc907,24.0,8.0,4.0,0.0,630.0,382.0,2750.0,315.0
frc4939,24.0,8.0,4.0,0.0,570.0,340.0,2101.0,360.0
frc188,24.0,8.0,4.0,0.0,565.0,355.0,2443.0,385.0
frc5036,23.0,8.0,4.0,0.0,585.0,353.0,2547.0,460.0
frc6397,23.0,7.0,5.0,0.0,585.0,341.0,2431.0,330.0
frc4946,23.0,6.0,6.0,0.0,585.0,424.0,2648.0,270.0
frc4343,23.0,6.0,6.0,0.0,660.0,411.0,2381.0,325.0
frc5031,21.0,7.0,5.0,0.0,605.0,349.0,2499.0,420.0
frc4001,21.0,7.0,5.0,0.0,545.0,302.0,2189.0,285.0
frc5921,20.0,7.0,5.0,0.0,455.0,332.0,1961.0,280.0
frc5519,19.0,5.0,7.0,0.0,610.0,348.0,1912.0,350.0
frc6009,19.0,7.0,5.0,0.0,560.0,240.0,2160.0,295.0
frc919,19.0,6.0,6.0,0.0,495.0,318.0,2177.0,305.0
frc6632,18.0,6.0,6.0,0.0,520.0,281.0,2116.0,290.0
frc6867,17.0,4.0,8.0,0.0,560.0,359.0,1826.0,365.0
frc6135,17.0,5.0,7.0,0.0,470.0,318.0,1901.0,275.0
frc7329,17.0,6.0,6.0,0.0,420.0,331.0,2311.0,355.0
frc1310,17.0,6.0,6.0,0.0,380.0,315.0,1870.0,255.0
frc6140,17.0,5.0,7.0,0.0,520.0,309.0,1856.0,320.0
frc6564,16.0,3.0,9.0,0.0,540.0,350.0,2051.0,255.0
frc7013,16.0,4.0,8.0,0.0,460.0,407.0,1971.0,275.0
frc5699,16.0,4.0,8.0,0.0,445.0,337.0,1842.0,270.0
frc5776,15.0,5.0,7.0,0.0,430.0,273.0,2088.0,270.0
frc6141,15.0,4.0,8.0,0.0,545.0,310.0,2032.0,280.0
frc746,15.0,5.0,7.0,0.0,430.0,296.0,1751.0,265.0
frc5428,14.0,5.0,7.0,0.0,645.0,262.0,2180.0,360.0
frc771,13.0,5.0,7.0,0.0,445.0,259.0,1587.0,220.0
frc6975,12.0,2.0,10.0,0.0,480.0,323.0,1310.0,255.0
frc6513,11.0,3.0,9.0,0.0,470.0,284.0,1604.0,270.0
frc854,8.0,3.0,9.0,0.0,455.0,275.0,1890.0,285.0
frc1075,7.0,3.0,9.0,0.0,535.0,247.0,1688.0,265.0
frc346,31.0,9.0,3.0,0.0,765.0,365.0,2618.0,355.0
frc3274,28.0,9.0,3.0,0.0,610.0,302.0,2685.0,315.0
frc1599,28.0,8.0,4.0,0.0,865.0,283.0,2200.0,345.0
frc384,26.0,9.0,3.0,0.0,690.0,263.0,2714.0,315.0
frc2106,25.0,8.0,4.0,0.0,740.0,313.0,2664.0,305.0
frc1262,25.0,7.0,5.0,0.0,710.0,329.0,2558.0,330.0
frc5724,25.0,9.0,3.0,0.0,650.0,259.0,2471.0,355.0
